_id,text,created_at,coordinates,source,geo
ObjectId(5728f306e6ad0c29540b2c61),"RT @molemkt: Felicitamos a nuestros amigos de la construcción, esos que construyen sueños y su propio destino, aficionados del Cruz Azul le…",2016-05-03T18:50:46.000Z,"",Twitter for Android,""
ObjectId(5728f306e6ad0c29540b2c62),Efemérides de hoy: Venezuela: Fundada Santa Cruz | ENcontrARTE https://t.co/JqMSnb9eek vía @ENcontrARTEve,2016-05-03T18:50:46.000Z,"",Linkis.com,""
ObjectId(5728f306e6ad0c29540b2c63),@Slate end of Cruz campaign can't come soon enough!,2016-05-03T18:50:46.000Z,"",Twitter for iPhone,""
ObjectId(5728f306e6ad0c29540b2c64),@ZKotek @jayisnotsexy @WingNewton @NamelessCynic @TheDemocrats The new polls have Trump beating Hillary. Rasmussen Reports yesterday,2016-05-03T18:50:46.000Z,"",Twitter Web Client,""
ObjectId(5728f306e6ad0c29540b2c65),RT @ReaganWorld: Reagan's Son Urges Indiana to Vote for Ted Cruz https://t.co/dpHRxW5w73 #Newsmax via @Newsmax_Media,2016-05-03T18:50:47.000Z,"",Twitter for iPhone,""
ObjectId(5728f306e6ad0c29540b2c66),RT @LFCVegas: This from a guy who perpetuates tabloid conspiracy theories. Choose wisely Indiana! #IndianaPrimary  https://t.co/H7XrKaNbk6,2016-05-03T18:50:47.000Z,"",Twitter Web Client,""
ObjectId(5728f306e6ad0c29540b2c67),"RT @Ricardochampio: @jtLOL @Hecate40 
I know where Donald Trump was!
Hiding from the Draft, shaking in his dorm room, scared too death!",2016-05-03T18:50:47.000Z,"",Twitter Web Client,""
ObjectId(5728f306e6ad0c29540b2c68),"RT @HBarabino: VHM dijo en la Universidad en Sta Cruz q la imágen ""de un fiscal buscando dinero con un perro y una excavadora"", es un inven…",2016-05-03T18:50:47.000Z,"",Twitter for Android,""
ObjectId(5728f306e6ad0c29540b2c69),"RT @camilacabello97: if trump wins, i'm moving to Canada  https://t.co/DS287EwQam",2016-05-03T18:50:47.000Z,"",Twitter Web Client,""
ObjectId(5728f306e6ad0c29540b2c6a),"RT @FishmanLevine: In Indiana, Trump has been the calm, steady Republican as his rivals seem desperate   https://t.co/qcEdNEeTsT via @indys…",2016-05-03T18:50:47.000Z,"",Twitter for Android,""
ObjectId(5728f306e6ad0c29540b2c6b),RT @WayneDupreeShow: GREAT STORY! Latino American Trump supporter RIPS Republican council member on fear tactics https://t.co/2Fitd5V5iV vi…,2016-05-03T18:50:47.000Z,"",Twitter for Android,""
ObjectId(5728f306e6ad0c29540b2c6c),"RT @JayCostTWS: ...
Trump Vitamins
Trump Mortgages
https://t.co/O8J41pkP8A
Trump Magazine
Trump University
Trump Ice
NJ Generals https://t.…",2016-05-03T18:50:47.000Z,"",Twitter for Android,""
ObjectId(5728f306e6ad0c29540b2c6d),@Ganisev @mirtasperanza2 @COLOANGELA @MicaModon @Nadmely87 @marinitalam https://t.co/Q8v0Kc3vuC,2016-05-03T18:50:47.000Z,"",Twitter for Android,""
ObjectId(5728f306e6ad0c29540b2c6e),RT @newsmax: Trump: Our Middle East Allies 'Have Not Proven to Be Great Fighters' https://t.co/7nkWFLVr2p,2016-05-03T18:50:47.000Z,"",Twitter for Android,""
ObjectId(5728f307e6ad0c29540b2c6f),RT @RightWing_B: Trump makes Obama look good.,2016-05-03T18:50:47.000Z,"",Twitter Web Client,""
ObjectId(5728f307e6ad0c29540b2c70),Aren't they smart. lol https://t.co/dJmNJtrlDC,2016-05-03T18:50:47.000Z,"",Twitter Web Client,""
ObjectId(5728f307e6ad0c29540b2c71),"RT @Jessthesav: David Bowie died at age 69
Alan Rickman died at age 69
Donald Trump is 69 so any day now...",2016-05-03T18:50:47.000Z,"",Twitter for iPhone,""
ObjectId(5728f307e6ad0c29540b2c72),RT @earthtoemmma: PLEASE MAKE AN EDUCATED DECISION WHEN YOU GO OUT TO VOTE TODAY AND ALSO!!! PLEASE DONT VOTE FOR TRUMP,2016-05-03T18:50:47.000Z,"",Twitter for iPhone,""
ObjectId(5728f307e6ad0c29540b2c73),Republicans have a massive electoral map problem that has nothing to do with Donald Trump https://t.co/Jwp2he3cNs,2016-05-03T18:50:47.000Z,"",Twitter for iPad,""
ObjectId(5728f307e6ad0c29540b2c74),"RT @NateSilver538: You know how you've heard again and again that Trump's supporters are ""working class""? That's mostly BS. https://t.co/eh…",2016-05-03T18:50:47.000Z,"",TweetDeck,""
ObjectId(5728f307e6ad0c29540b2c75),"@realDonaldTrump is a Common Sense Conservative! President Trump = Competence, Safety, Unity, &amp; US JOBS, JOBS, JOBS! https://t.co/ZLqSbCdCzL",2016-05-03T18:50:47.000Z,"",iOS,""
ObjectId(5728f307e6ad0c29540b2c76),RT @LeonHWolf: Ted Cruz is Right: The Media IS Selecting Trump. Here is Proof. | RedState https://t.co/XJYvKjdOeQ,2016-05-03T18:50:47.000Z,"",Twitter for Android,""
ObjectId(5728f307e6ad0c29540b2c77),"RT @NateSilver538: You know how you've heard again and again that Trump's supporters are ""working class""? That's mostly BS. https://t.co/eh…",2016-05-03T18:50:48.000Z,"",Twitter Web Client,""
ObjectId(5728f307e6ad0c29540b2c78),"@Tristrix I like to think that most people deserve to not have their yogurt stolen. Unlike, for example, Trump. his yogurt should be stolen",2016-05-03T18:50:47.000Z,"",Twitter for Android,""
ObjectId(5728f307e6ad0c29540b2c79),"What's the difference between #Cruise and #Cruz? One explodes, the other implodes! #PrimaryDay #GOP #Election2016 #Indiana #USA #Trump2016",2016-05-03T18:50:48.000Z,"",Twitter for iPhone,""
ObjectId(5728f307e6ad0c29540b2c7a),Trump just accused Ted Cruz's father of aiding Lee Harvey Oswald before he assassinated JFK https://t.co/OfcCEWcUC6,2016-05-03T18:50:48.000Z,"",Mobile Web,""
ObjectId(5728f307e6ad0c29540b2c7b),RT @TeddyDavisCNN: Longtime McCain adviser announces he will back @HillaryClinton over Donald Trump -- &gt; https://t.co/AQ2YTGW68O,2016-05-03T18:50:48.000Z,"",Twitter Web Client,""
ObjectId(5728f307e6ad0c29540b2c7c),"RT @DogPoundGrind: @veganvecoh @PartingThots @mitchellvii @realDonaldTrump FYI, I think he is trying to provoke a Trump supptr to take a sw…",2016-05-03T18:50:48.000Z,"",Twitter Web Client,""
ObjectId(5728f307e6ad0c29540b2c7d),RT @Josealberto2: Alumnos del @CBTIS214Oficial recordando el tradicional día de la Santa Cruz. https://t.co/4dfyZE8hqr,2016-05-03T18:50:48.000Z,"",Twitter for Android,""
ObjectId(5728f307e6ad0c29540b2c7e),RT @cerenomri: Lol words https://t.co/hUXIvTilSx,2016-05-03T18:50:48.000Z,"",Twitter for Android,""
ObjectId(5728f307e6ad0c29540b2c7f),"RT @sergioserrichio: Adelantos fcieros a Provincias, hoy en Boletín Oficial: $ 500 millones a Neuquén, 
$ 150 M a Tucumán, $ 150 M a La Rio…",2016-05-03T18:50:48.000Z,"",Twitter Web Client,""
ObjectId(5728f307e6ad0c29540b2c80),RT @rafshmatko: Creative family endorses #Trump! #MAGA #DonaldTrump https://t.co/QGfBvWBreM,2016-05-03T18:50:48.000Z,"",Twitter for iPhone,""
ObjectId(5728f307e6ad0c29540b2c81),RT @Acosta: Trump statement: Ted Cruz is a desperate candidate trying to save his failing campaign https://t.co/BWp9sMryKd,2016-05-03T18:50:48.000Z,"",Twitter for iPhone,""
ObjectId(5728f307e6ad0c29540b2c82),@amperg33 @O_IrishT He's being paid just like Levin. Through a #Cruz super Pac that leads back to Media Mattters owned by George Soros.,2016-05-03T18:50:48.000Z,"",Twitter Web Client,""
ObjectId(5728f308e6ad0c29540b2c83),"RT @LindaSuhler: Trump hears the Voices of the People;
the others hear only their donors💰💰💰.
✔️VOTE #Trump2016 #IN
#INPrimary
#UNIFY https:…",2016-05-03T18:50:48.000Z,"",Twitter for iPad,""
ObjectId(5728f308e6ad0c29540b2c84),@GretchenCarlson @tony4ny @SimonWDC Trump doesn't deal in real stories.,2016-05-03T18:50:48.000Z,"",Twitter Web Client,""
ObjectId(5728f308e6ad0c29540b2c85),"RT @jakesones173: @TomG_380 @Pudingtane @AllenWest Wish Cruz would spare us anymore of his low energy, whiny campaign BS",2016-05-03T18:50:48.000Z,"",Twitter for Android,""
ObjectId(5728f308e6ad0c29540b2c86),RT @SupportMelania: Get on the Wall and support #Trump and  https://t.co/kELwaRSBcw  https://t.co/pQ9oRSvYUz,2016-05-03T18:50:48.000Z,"",Twitter for iPhone,""
ObjectId(5728f308e6ad0c29540b2c87),"Ted Cruz attacks Roger Ailes, Rupert Murdoch https://t.co/NMdjTiZ0YL",2016-05-03T18:50:48.000Z,"",IFTTT,""
ObjectId(5728f308e6ad0c29540b2c88),"RT @gregkarber: If somebody called Trump small minded, he'd spend ten minutes talking about how big his head was.",2016-05-03T18:50:48.000Z,"",Twitter for Android,""
ObjectId(5728f308e6ad0c29540b2c89),"RT @GarrettVentry: We had a deep field of GOP candidates like Cruz, Rubio, and Walker. Naturally, we choose the fraudster, who mocked a dis…",2016-05-03T18:50:48.000Z,"",Twitter for iPhone,""
ObjectId(5728f308e6ad0c29540b2c8a),@mitchellvii Sadly Cruz is not going to go away that easy. He's looking forward to a contested convention. #Trump2016,2016-05-03T18:50:48.000Z,"",Twitter for iPhone,""
ObjectId(5728f308e6ad0c29540b2c8b),RT @Benny292929: @HoosiersForCruz #Trump calls Hillary crooked. Surprise - the Dems making commercials of many ex-Trump U students under oa…,2016-05-03T18:50:48.000Z,"",Twitter for Android,""
ObjectId(5728f308e6ad0c29540b2c8c),RT @Gelicmonk: They are a bunch of morons also. They do know the truth about Cruz don't think they don't  https://t.co/M23ypGkgr7,2016-05-03T18:50:48.000Z,"",Twitter for Android,""
ObjectId(5728f308e6ad0c29540b2c8d),"RT @IngrahamAngle: Don’t Listen to the ‘Experts’ — “Trump Could Lift the Entire GOP” in 2016,” writes @WendyLongNY @realDonaldTrump https:/…",2016-05-03T18:50:48.000Z,"",Twitter for Android,""
ObjectId(5728f308e6ad0c29540b2c8e),"RT @GermanoDottori: Trump ora in vantaggio sulla Clinton, sondaggio nazionale https://t.co/ZeVlpHYqKx",2016-05-03T18:50:49.000Z,"",Twitter for Android,""
ObjectId(5728f308e6ad0c29540b2c8f),RT @GlendaAhrens: Wow we love Trump  https://t.co/5gwIpXEBhW,2016-05-03T18:50:48.000Z,"",Twitter for iPhone,""
ObjectId(5728f308e6ad0c29540b2c90),RT @mapajames: #IndianaPrimary #NeverTrump #VoteTedCruz https://t.co/ircUgL6a3v,2016-05-03T18:50:49.000Z,"",Twitter Web Client,""
ObjectId(5728f308e6ad0c29540b2c91),RT @CorruptMsm: First freaky glen beck. And now crazy Cruz loses his mind completely. So much fun watching him dig deeper &amp; deeper https://…,2016-05-03T18:50:49.000Z,"",Twitter for iPhone,""
ObjectId(5728f308e6ad0c29540b2c92),"Cruz, Trump Exchange Insults as Indiana Votes https://t.co/Z1CjDTTqSW",2016-05-03T18:50:49.000Z,"",twitterfeed,""
ObjectId(5728f308e6ad0c29540b2c93),"RT @DefendingtheUSA: An Honor to Collab w/ @LynnePatton on her Amazing Story as a Trump Org Exec
@realDonaldTrump @DanScavino #INPrimary
ht…",2016-05-03T18:50:49.000Z,"",Twitter for Android,""
ObjectId(5728f308e6ad0c29540b2c94),@DRUDGE_REPORT @RealNinjetta so why do you talk about Trump so much @TedCruz ..you must like him,2016-05-03T18:50:49.000Z,"",Twitter Web Client,""
ObjectId(5728f308e6ad0c29540b2c95),*NEW* Donald J. Trump 2005 Signature Col. - Gold/Black Automatic Skeleton Watch https://t.co/H0b3VoATn1 https://t.co/ZlfAG2eWxl,2016-05-03T18:50:49.000Z,"",IFTTT,""
ObjectId(5728f308e6ad0c29540b2c96),"#LoMasVisto Cruz, Trump Exchange Insults as Indiana Votes: Assailing each other with no l... https://t.co/Z7CXkkj6ro #CadenaDeSeguidores",2016-05-03T18:50:49.000Z,"",twitterfeed,""
ObjectId(5728f308e6ad0c29540b2c97),"Attack Rupert Murdoch, you attack FOX NEWS.  The one Cable Network where you can hear the Conservative View.  https://t.co/1Xn0YA33T0",2016-05-03T18:50:49.000Z,"",Twitter Web Client,""
